,Event.Id,Number.of.Engines,Injury.Severity,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Uninjured,Purpose.of.flight,Weather.Condition,Aircraft_Model
19115,20190121X12203,1.0,Non-Fatal,0,1,0.0,Personal,VMC,PIPER PA 18
19116,20190130X55313,1.0,Non-Fatal,0,0,1.0,Instructional,VMC,CESSNA 172
19117,20190121X12852,1.0,Non-Fatal,0,1,0.0,Aerial Observation,VMC,CESSNA 172
19118,20190122X04507,,,0,0,0.0,,,MCDONNELL DOUGLAS MD11
19119,20190124X25455,1.0,Non-Fatal,0,0,2.0,Personal,VMC,NAVION NAVION
19120,20190121X14953,2.0,Fatal,2,0,0.0,Positioning,VMC,DOUGLAS DC3C
19121,20190122X30731,2.0,Non-Fatal,0,0,1.0,Other Work Use,VMC,PIPER PA31
19122,20190122X60433,1.0,Fatal,2,0,0.0,,,PIPER PA46
19123,20190129X14158,2.0,,0,0,0.0,,,AIRBUS A320
19124,20190129X40818,,Fatal,1,0,0.0,,Unk,PIPER PA25
19125,20190129X84331,,,0,0,0.0,,,BOEING 737
19126,20190125X52719,1.0,Non-Fatal,0,1,0.0,Personal,VMC,PIPER PA-22-150
19127,20190125X53851,1.0,Non-Fatal,0,0,2.0,Instructional,VMC,CESSNA R172
19128,20190130X94929,1.0,Fatal,1,0,0.0,Personal,VMC,ROCKWELL 112
19129,20190219X91818,2.0,,0,0,0.0,,,BRITTEN NORMAN BN2B
19130,20190127X80545,1.0,Non-Fatal,0,0,2.0,Personal,VMC,BEECH B19
19131,20190128X20852,1.0,Non-Fatal,0,0,2.0,Personal,VMC,BEECH 35
19132,20190131X04223,,Fatal,2,0,0.0,,,RANS S12
19133,20190206X45444,1.0,Non-Fatal,0,0,1.0,Personal,VMC,PIPER PA28
19134,20190212X55006,1.0,Non-Fatal,0,0,1.0,Personal,VMC,CESSNA R172
19135,20190127X22823,,Non-Fatal,0,1,0.0,Personal,VMC,PIPER PA32RT
19136,20190127X23317,1.0,Non-Fatal,0,1,0.0,Personal,VMC,BEECH A36
19137,20190129X14005,1.0,Non-Fatal,0,0,1.0,Personal,VMC,CESSNA 170
19138,20190129X82852,1.0,Non-Fatal,0,0,1.0,Instructional,VMC,PIPER PA22
19139,20190207X71722,1.0,Non-Fatal,0,0,1.0,Personal,VMC,PIPER PA 18A
19140,20190129X04200,1.0,Non-Fatal,0,0,0.0,Personal,VMC,WHITTMAN 8-W MODIFIED
19141,20190129X20312,1.0,Fatal,1,0,0.0,Personal,IMC,PIPER PA28
19142,20190129X43646,1.0,Non-Fatal,0,0,1.0,Personal,VMC,CESSNA 172
19143,20190129X84125,1.0,Non-Fatal,0,0,1.0,Personal,VMC,EMMET SMITH ROADRUNNER
19144,20190130X94528,1.0,Non-Fatal,0,0,4.0,Instructional,VMC,CESSNA 172
19145,20190130X94935,3.0,Non-Fatal,0,0,4.0,,VMC,BOEING 727 200
19146,20190327X80000,,,0,0,0.0,,,BOEING 737
19147,20190519X52630,,Non-Fatal,0,0,1.0,,,PITTS S2
19148,20190131X52154,,Fatal,3,0,0.0,Business,VMC,BEECH 200
19149,20190206X82447,1.0,Fatal,1,0,1.0,,,CESSNA 150
19150,20190131X82219,1.0,Fatal,1,0,0.0,Personal,IMC,MOONEY M20K
19151,20190201X54524,1.0,Fatal,2,0,0.0,Personal,IMC,PIPER PA32RT
19152,20190201X91949,,Fatal,1,0,0.0,Personal,VMC,RANS S12
19153,20190202X81119,1.0,Non-Fatal,0,0,2.0,Personal,VMC,PIPER PA 12
19154,20190204X30039,1.0,Non-Fatal,0,0,1.0,Personal,VMC,CESSNA 150
19155,20190617X02833,,Non-Fatal,0,0,2.0,,,RAYTHEON B200
19156,20190204X12045,2.0,Fatal,1,0,0.0,Personal,IMC,CESSNA 414
19157,20190205X55142,,,0,0,0.0,,,BOEING 787
19158,20190305X42937,,Non-Fatal,0,0,220.0,,VMC,BOEING 787
